
[00:00:00.000 --> 00:00:06.880]   You're listening to the QLIP's English podcast. To download the study guide for this episode,
[00:00:06.880 --> 00:00:14.480]   which includes the transcript, detailed vocabulary explanations, real-world examples,
[00:00:14.480 --> 00:00:23.520]   and a quiz, visit our website, QLIP's.com. C-U-L-I-P-S.com.
[00:00:25.520 --> 00:00:34.080]   Hey, everybody. My name is Andrew. And I'm Suzanne. And you're listening to QLIP's.
[00:00:34.080 --> 00:00:47.680]   Hello, Suzanne. Hey, Andrew. How's it going? I'm doing really, really well. How about you?
[00:00:47.680 --> 00:00:53.360]   How are you? I'm good. Doing pretty good. Working hard these days.
[00:00:55.680 --> 00:01:04.240]   Suzanne, today we are happy to present to everyone the second episode of our brand new
[00:01:04.240 --> 00:01:15.280]   Speak Easy Series. And in this series, we give you tips on pronunciation so that you can make
[00:01:15.280 --> 00:01:24.080]   your spoken English sound more natural. Yeah. You know, Suzanne, I think a lot of people
[00:01:24.080 --> 00:01:32.240]   get discouraged when it comes to pronunciation. Like I think, ah, I can never sound like a native
[00:01:32.240 --> 00:01:40.160]   speaker because I'm learning English as an adult, and you can only sound perfect if you learn English
[00:01:40.160 --> 00:01:48.000]   as a child. I know. Yeah. It can be overwhelming. So you just give up. You're like, whatever. I don't
[00:01:48.000 --> 00:01:56.480]   care about pronunciation. And there is a little bit of truth to that. Of course, I think everyone
[00:01:56.480 --> 00:02:03.840]   can agree that children who learn foreign languages at a young age can get the accent down pat. But
[00:02:03.840 --> 00:02:11.840]   what we want to do in this Speak Easy series, everyone, is give you some tips that you can
[00:02:13.040 --> 00:02:21.120]   easily learn and incorporate into your spoken English to make your English sound more natural.
[00:02:21.120 --> 00:02:28.560]   So just one tip at a time, one step at a time, one adjustment at a time. You can make a slight
[00:02:28.560 --> 00:02:38.560]   tweak to sound better. And this is really the goal of this series. And also, as you listen to these
[00:02:38.560 --> 00:02:45.840]   episodes, you don't have to make these adjustments right away. Just be aware of them and perceive
[00:02:45.840 --> 00:02:55.360]   them in your speech and maybe in other people's speech. And that's the first step. Just understanding
[00:02:55.360 --> 00:03:03.760]   and being aware of these little tricks, these little tips. And sooner or later, you'll start doing
[00:03:03.760 --> 00:03:11.440]   them in your own pronunciation and hopefully feel more confident. Absolutely. I couldn't
[00:03:11.440 --> 00:03:22.880]   agree more. And today, we have a very, very, very important pronunciation tip. Yes. One that,
[00:03:22.880 --> 00:03:33.040]   unfortunately, is not taught in too many English classes. And why that is, I'm not 100% sure. But
[00:03:34.480 --> 00:03:42.640]   when it comes to English pronunciation, there are some things that you don't need to pronounce
[00:03:42.640 --> 00:03:51.920]   correctly. For example, the TH sound in English, if you don't nail that 100% correctly, it doesn't
[00:03:51.920 --> 00:04:00.640]   bother native speakers. But I think with today's topic, today's tip, if you don't pronounce it
[00:04:00.640 --> 00:04:10.000]   correctly, it's very noticeable to native speakers. It will really make your English sound unnatural
[00:04:10.000 --> 00:04:16.960]   if you're not at least attempting to make the pronunciation that we're going to teach you today.
[00:04:16.960 --> 00:04:24.080]   Let's get into it. So what is this pronunciation tip that you're going to tell us about today?
[00:04:24.640 --> 00:04:34.480]   So today has a lot to do with a grammar feature. Most of us know the simple past, past tense,
[00:04:34.480 --> 00:04:43.680]   right? But the simple past, not, not like by and bought, but when you add an ED ending to a word,
[00:04:43.680 --> 00:04:52.640]   right? To a regular verb. A regular verb, exactly. It's easy. Just add ED. Yeah. So on paper,
[00:04:52.640 --> 00:04:59.440]   when you're writing in English, you just add an ED, or when you're reading English, you just
[00:04:59.440 --> 00:05:07.680]   read it as a simple past word, ED. But when you're speaking it, there are three different ways
[00:05:07.680 --> 00:05:20.480]   of perceiving and saying the ED ending of a word. There's T, as in just a T sound, T. There's D,
[00:05:21.840 --> 00:05:31.600]   a D sound, or ID, like an ED sound, ID. Suzanne, so what you're telling us, if I understand correctly,
[00:05:31.600 --> 00:05:39.920]   is that ED, the ending that we attach to regular verbs, to change them to past tense verbs,
